factor,selection_count,selection_frequency
benchmark_weight_rank,3,0.5
cash_ratio_change_rank,3,0.5
deducted_profit_growth_change_rank,6,1.0
deducted_profit_growth_rank,4,0.6666666666666666
fcff_back_rank,2,0.3333333333333333
fundamental_freshness_rank,1,0.16666666666666666
gross_margin_change_rank,6,1.0
gross_margin_yoy_change_rank,6,1.0
gross_margin_yoy_rank,3,0.5
growth,3,0.5
industry_momentum,6,1.0
intraday_strength_20_rank,6,1.0
liquidity,6,1.0
low_volatility,5,0.8333333333333334
momentum,5,0.8333333333333334
operating_cash_margin_rank,3,0.5
operating_cycle_change_rank,3,0.5
profit_growth_change_rank,6,1.0
profit_growth_rank,3,0.5
quality,3,0.5
revenue_growth_change_rank,6,1.0
revenue_growth_rank,3,0.5
roe_change_rank,4,0.6666666666666666
roic_change_rank,4,0.6666666666666666
roic_rank,1,0.16666666666666666
short_reversal,5,0.8333333333333334
volatility_60_rank,5,0.8333333333333334
volume_trend_60_rank,4,0.6666666666666666
