model,horizon,broad_sector,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
v6,5,consumer,214,0.023741183868044538,0.3128378112587718,0.07588975185741345,0.5700934579439252,0.018884204543839135
v6,5,cyclical_manufacturing,1434,-0.0019604544601707153,0.22451205751847664,-0.008732067586211383,0.5,-0.005430440188557547
v6,5,finance_real_estate,1434,0.02418636400670197,0.32005023748585937,0.07557052354248163,0.5264993026499303,0.013020996710618838
v6,5,healthcare,887,0.0247969141477661,0.25284104960513454,0.09807313403615352,0.5682074408117249,0.017835791548251354
v6,5,other,382,0.015733778362736466,0.1887491119807619,0.08335815833846211,0.518324607329843,0.007386793179896733
v6,5,technology,1434,-0.02432180156017065,0.20978157411832907,-0.1159386931973908,0.4511854951185495,-0.017169949412428106
ridge,5,consumer,214,0.03608259173919581,0.30294198886461654,0.1191072649731661,0.5747663551401869,0.042307052347564905
ridge,5,cyclical_manufacturing,1434,0.04942744782174239,0.21589868703558612,0.22893815845019644,0.5906555090655509,0.031725024010168905
ridge,5,finance_real_estate,1434,0.0541902753423712,0.32566396643579226,0.16639935923968832,0.5585774058577406,0.04585343604502759
ridge,5,healthcare,887,0.0027050757011935485,0.23477625714525435,0.011521930428935742,0.5084554678692221,-1.3956209349954432e-06
ridge,5,other,382,-0.00428284027793486,0.23904021179445117,-0.017916819290712645,0.4869109947643979,-0.022071595949669186
ridge,5,technology,1434,0.026320239011400324,0.22425523220533172,0.11736733521250058,0.5244072524407253,0.016240712849891543
lightgbm_regression,5,consumer,214,0.02996901410969548,0.318389033817013,0.09412702991183894,0.514018691588785,0.028961707260496097
lightgbm_regression,5,cyclical_manufacturing,1434,0.04627275737924139,0.2063693533606206,0.22422300901617867,0.5801952580195258,0.03375140078489971
lightgbm_regression,5,finance_real_estate,1434,0.06160870180108525,0.3352776662712269,0.1837542669819413,0.5648535564853556,0.055981992743486995
lightgbm_regression,5,healthcare,887,0.022026149380469002,0.23807678266059698,0.09251699865194142,0.5366403607666291,0.01945119576026551
lightgbm_regression,5,other,382,0.010859391916716378,0.22020403016004347,0.049315137006456296,0.5104712041884817,-0.012862262294588294
lightgbm_regression,5,technology,1434,0.015735394972276884,0.2143237743542877,0.07341880302212998,0.504881450488145,0.010233825740258117
v6,20,consumer,197,-0.012509217089479885,0.30705238778426086,-0.040739683477951094,0.45685279187817257,0.00908378207570753
v6,20,cyclical_manufacturing,1434,-0.01912015336457698,0.22230760718909617,-0.08600764322164317,0.4825662482566248,-0.017550233351677755
v6,20,finance_real_estate,1434,0.01077318932593488,0.3134203696026482,0.03437297116199896,0.5313807531380753,0.0001150029896090902
v6,20,healthcare,860,0.01796621790007395,0.25775712152537483,0.06970212032843977,0.5465116279069767,0.01936653987180399
v6,20,other,382,0.028250903633860368,0.1860078246770404,0.15188018935714953,0.5602094240837696,0.00942508188984718
v6,20,technology,1434,-0.03434718484475882,0.2070594670364233,-0.16588077491147457,0.42189679218967924,-0.030093597538253254
ridge,20,consumer,197,0.013213847101451801,0.2934478232429877,0.04502963066967498,0.5025380710659898,0.030745747810666087
ridge,20,cyclical_manufacturing,1434,0.07071984080412827,0.21274850189219546,0.332410523106591,0.6352859135285913,0.053576720272869624
ridge,20,finance_real_estate,1434,0.08216445356642732,0.30353500787688653,0.27069185245266053,0.6073919107391911,0.07399114834812208
ridge,20,healthcare,860,0.019175798651338186,0.2224235782277161,0.08621297617874892,0.5290697674418605,0.01722519089841052
ridge,20,other,382,-0.02445850699313999,0.21485610838657992,-0.11383668435962273,0.43455497382198954,-0.056506895527067176
ridge,20,technology,1434,0.023594621593807038,0.22786797831089153,0.10354513946499201,0.5543933054393305,0.015376484049843615
lightgbm_regression,20,consumer,197,0.012512089195521459,0.3401692382091032,0.03678195377510954,0.5380710659898477,0.04421713547611353
lightgbm_regression,20,cyclical_manufacturing,1434,0.06771872397644958,0.20618593467744722,0.32843522562480937,0.6276150627615062,0.05481275485576279
lightgbm_regression,20,finance_real_estate,1434,0.0905196819210196,0.3187910064677928,0.2839467867176634,0.6262203626220363,0.08070220965524266
lightgbm_regression,20,healthcare,860,0.048086881817935585,0.22229377114983132,0.21632131916788563,0.5976744186046512,0.04808240520749172
lightgbm_regression,20,other,382,0.00116092129921339,0.2164829022161494,0.005362646598548726,0.45287958115183247,-0.026340216020300414
lightgbm_regression,20,technology,1434,0.00748895017434539,0.22514894304333707,0.03326220444616479,0.5034867503486751,-0.007017155595433471
