model,horizon,portfolio_policy,top_k,weighting,buffer_exit_rank,sector_balanced,periods,gross_total_return,net_total_return,transaction_cost_rate_sum,transaction_cost_sum,compounded_total_return_drag,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost_rate,mean_maximum_sector_weight,p95_maximum_sector_weight,worst_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread,blocked_sell_orders,terminal_unliquidated_positions,exit_tradability_status,pnl_classification
v6,5,equal_top10,10,equal,,False,287,0.39071953896078004,-0.05842031618287491,0.38992513021659764,0.38992513021659764,0.44913985514365495,0.284204252196415,0.10651528676436506,-0.3426245683792899,-0.010515380207686165,0.07049573040640318,0.13272976783693352,-0.43869210088244404,0.6468026778397934,32.59885496312559,0.001358624147096159,0.43051894709709665,0.6090579289041967,0.8034261969741837,0.3361664763753973,0.23292701819709363,-8.188698259700197e-05,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,5,equal_top20,20,equal,,False,287,0.33526265825426815,-0.04692974724227417,0.33691805821576737,0.33691805821576737,0.3821924054965423,0.284204252196415,0.05105840605785317,-0.33113399943868915,-0.008405449538262832,0.07524590450520655,0.13206443729318879,-0.46289667218557096,0.5588753172411041,28.167315988951643,0.001173930516431245,0.3985150998950617,0.5919267232790321,0.7026465257472776,0.3375428978161286,0.24134791531106062,-0.000561722798736411,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,5,equal_top30,30,equal,,False,287,0.23741308125231209,-0.08689517224639942,0.3037283773331112,0.3037283773331112,0.3243082534987115,0.284204252196415,-0.0467911709441029,-0.3710994244428144,-0.015836987514210366,0.04475637013619309,0.0790484467764895,-0.49700682058546,0.5038207569915014,25.39256615237167,0.0010582870290352306,0.3912173310638967,0.5538557880468568,0.6721270910988368,0.33682384006372074,0.24181601399792424,-0.0007618899247683228,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,5,rank_weight_top20,20,rank,,False,287,0.31614563699731546,-0.08904580219978064,0.3677645491198429,0.3677645491198429,0.4051914391970961,0.284204252196415,0.031941384800900474,-0.37325005439619563,-0.016244445431052856,0.041095766369608946,0.0727387906807353,-0.4690588882334674,0.610043028011553,30.74616861178227,0.0012814095788147837,0.41128478962073195,0.6010812084832942,0.7151473682292198,0.3375428978161286,0.24134791531106062,-0.000561722798736411,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,5,rank_decay_top20,20,rank_decay,,False,287,0.3246760790230909,-0.09856939128056019,0.3847050419858105,0.3847050419858105,0.4232454703036511,0.284204252196415,0.04047182682667594,-0.3827736434769752,-0.01805837059181592,0.03396747744073833,0.06022981594728513,-0.4553343945999123,0.6381436713544284,32.16244103626319,0.001340435686361709,0.42350243262033777,0.6371875474461792,0.7589839538609133,0.3375428978161286,0.24134791531106062,-0.000561722798736411,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,5,buffer_top20_exit30,20,equal,30.0,False,287,0.14286133752996832,-0.1165836959979265,0.2574025092097412,0.2574025092097412,0.25944503352789483,0.284204252196415,-0.14134291466644666,-0.4007879481943415,-0.021533140397823503,0.01886516226562546,0.0322466203967889,-0.48451265847418734,0.42697608027615536,21.51959444591823,0.0008968728543893422,0.3930819762769926,0.5618067692933704,0.7490089565543279,0.3387037126235096,0.23970230885020524,-0.0010655759559354747,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
v6,5,sector_balanced_top20,20,equal,,True,287,0.3918445228127827,-0.027023831808231646,0.3579750324266205,0.3579750324266205,0.41886835462101435,0.284204252196415,0.10764027061636772,-0.31122808400464663,-0.0047993963913085524,0.08997927284566605,0.16190227586561542,-0.43443252606146554,0.5938043200074895,29.92773772837747,0.0012472997645526847,0.3495760094799194,0.4059345384189064,0.41361089918603433,0.3346269435724339,0.25040105885892144,-0.00041538675466104336,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,5,equal_top10,10,equal,,False,287,0.07401773613655127,-0.21791575257223061,0.3166776730881171,0.3166776730881171,0.2919334887087819,0.284204252196415,-0.21018651605986372,-0.5021200047686456,-0.042245326342089884,-0.07566948044339986,-0.1361417208171146,-0.45513351243727507,0.5253008605771446,26.47516337308809,0.0011034065264394325,0.42933857320186347,0.6965841363123179,0.900995695455432,0.3308789480049257,0.06544439921722894,0.0018893081212921904,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,5,equal_top20,20,equal,,False,287,0.23985272573604632,-0.06609102006888334,0.2830406467032522,0.2830406467032522,0.30594374580492967,0.284204252196415,-0.04435152646036866,-0.35029527226529833,-0.011935742020662055,0.04663459835726256,0.08392096437590783,-0.33894904693896066,0.46950425011046354,23.66301420556736,0.0009862043439137706,0.3985774382249206,0.6028418634965291,0.7576270994258023,0.32922979730415697,0.09069157347439005,0.0004563349453656425,0,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
ridge,5,equal_top30,30,equal,,False,287,0.34781857288630413,0.03580980866049743,0.2629670541757346,0.2629670541757346,0.3120087642258067,0.284204252196415,0.06361432068988915,-0.24839444353591755,0.006197700445744747,0.13084375484643662,0.2486782857679046,-0.3123181932018039,0.4362064665873416,21.984805916002014,0.0009162615128074377,0.386766398057346,0.5662820491686974,0.6710158863755724,0.3282286449599562,0.10658698231985346,0.0009289304545946426,1,0,CANONICAL_STATEFUL_RESEARCH_LEDGER,RESEARCH_PROXY_ONLY
