model,horizon,regime,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
v6,5,neutral,804,-0.0017124319282210442,0.1651324167712706,-0.010370053086505602,0.47885572139303484,-0.008557018433579826
v6,5,risk_off,333,-0.010994825036231849,0.1682959288286651,-0.06533030901433873,0.4954954954954955,-0.012528440481673571
v6,5,risk_on,297,0.006621322157550559,0.18358745457828984,0.03606631059164739,0.5286195286195287,-0.006065424306593355
ridge,5,neutral,804,0.03760287889272621,0.1880086073558243,0.20000615621581175,0.582089552238806,0.014987395437320482
ridge,5,risk_off,333,0.012316211433927698,0.18782345450911553,0.06557334101918545,0.5045045045045045,0.007940370269895565
ridge,5,risk_on,297,0.04984964377823657,0.22764017223680422,0.21898438789784497,0.5589225589225589,0.007058815278989569
lightgbm_regression,5,neutral,804,0.037927217780291726,0.17718041420382288,0.21405987761526182,0.5932835820895522,0.021091736714141118
lightgbm_regression,5,risk_off,333,0.021239683145182455,0.17405832359538345,0.12202624216096837,0.5405405405405406,0.01659863452792494
lightgbm_regression,5,risk_on,297,0.04663000441214112,0.21462218926177665,0.2172655333194187,0.5656565656565656,0.008007772194579621
v6,20,neutral,804,-0.008414203836447635,0.1667987760310114,-0.05044523728929077,0.47388059701492535,-0.017137282046756155
v6,20,risk_off,333,-0.027410752319450647,0.14912466355911347,-0.18381099185906924,0.43843843843843844,-0.02357838887420421
v6,20,risk_on,297,-0.024424380444900137,0.18442437867050568,-0.1324357474915882,0.4511784511784512,-0.028477063174066605
ridge,20,neutral,804,0.06525632108368308,0.184466310557969,0.35375739280683516,0.599502487562189,0.03468308915049678
ridge,20,risk_off,333,0.021259887646237607,0.17982241499968157,0.11822712783762387,0.5255255255255256,0.009186190076070506
ridge,20,risk_on,297,0.03262237841792866,0.2519001068505593,0.1295052186590854,0.5892255892255892,0.0010684757424992493
lightgbm_regression,20,neutral,804,0.06648011498255921,0.17264059710899615,0.3850781108025662,0.6156716417910447,0.039870512775055475
lightgbm_regression,20,risk_off,333,0.01871841767637928,0.176857525241466,0.10583896642691776,0.5195195195195195,0.0012189114197912341
lightgbm_regression,20,risk_on,297,0.03986497352674974,0.23058345707907377,0.17288739631082417,0.6127946127946128,0.013022329033784094
