model,horizon,portfolio_policy,blocked_sell_orders,blocked_buy_orders,actual_position_count,cash_weight
v6,5,equal_top10,0.0,0.0,2860.0,1.0000000000000138
v6,5,equal_top20,1.0,0.0,5721.0,1.0000000000000189
v6,5,equal_top30,0.0,0.0,8580.0,1.0000000000000189
v6,5,rank_weight_top20,1.0,0.0,5721.0,1.0000000000000115
v6,5,rank_decay_top20,1.0,0.0,5721.0,1.0000000000000109
v6,5,buffer_top20_exit30,0.0,0.0,5720.0,1.0000000000000122
v6,5,sector_balanced_top20,1.0,0.0,5721.0,1.0000000000000187
ridge,5,equal_top10,1.0,0.0,2861.0,1.0000000000000107
ridge,5,equal_top20,0.0,0.0,5720.0,1.0000000000000124
ridge,5,equal_top30,1.0,0.0,8581.0,1.0000000000000147
ridge,5,rank_weight_top20,1.0,0.0,5720.0,1.0000000000000102
ridge,5,rank_decay_top20,1.0,0.0,5720.0,1.000000000000011
ridge,5,buffer_top20_exit30,0.0,0.0,5720.0,1.000000000000008
ridge,5,sector_balanced_top20,1.0,0.0,5721.0,1.0000000000000129
lightgbm_regression,5,equal_top10,1.0,0.0,2861.0,1.0000000000000093
lightgbm_regression,5,equal_top20,1.0,0.0,5721.0,1.0000000000000113
lightgbm_regression,5,equal_top30,0.0,0.0,8580.0,1.0000000000000127
lightgbm_regression,5,rank_weight_top20,1.0,0.0,5721.0,1.0000000000000084
lightgbm_regression,5,rank_decay_top20,1.0,0.0,5721.0,1.0000000000000087
lightgbm_regression,5,buffer_top20_exit30,0.0,0.0,5720.0,1.0000000000000078
lightgbm_regression,5,sector_balanced_top20,0.0,0.0,5720.0,1.0000000000000138
v6,20,equal_top10,0.0,0.0,710.0,1.000000000000004
v6,20,equal_top20,0.0,0.0,1420.0,1.0000000000000044
v6,20,equal_top30,0.0,0.0,2130.0,1.0000000000000062
v6,20,rank_weight_top20,0.0,0.0,1420.0,1.0000000000000029
v6,20,rank_decay_top20,0.0,0.0,1420.0,1.0000000000000038
v6,20,buffer_top20_exit30,0.0,0.0,1420.0,1.0000000000000047
v6,20,sector_balanced_top20,0.0,0.0,1420.0,1.0000000000000062
ridge,20,equal_top10,0.0,0.0,710.0,1.0000000000000029
ridge,20,equal_top20,0.0,0.0,1420.0,1.0000000000000042
ridge,20,equal_top30,0.0,0.0,2130.0,1.000000000000005
ridge,20,rank_weight_top20,0.0,0.0,1420.0,1.0000000000000033
ridge,20,rank_decay_top20,0.0,0.0,1420.0,1.0000000000000033
ridge,20,buffer_top20_exit30,0.0,0.0,1420.0,1.000000000000003
ridge,20,sector_balanced_top20,0.0,0.0,1420.0,1.0000000000000036
lightgbm_regression,20,equal_top10,0.0,0.0,710.0,1.0000000000000024
lightgbm_regression,20,equal_top20,0.0,0.0,1420.0,1.000000000000003
lightgbm_regression,20,equal_top30,0.0,0.0,2130.0,1.000000000000006
lightgbm_regression,20,rank_weight_top20,0.0,0.0,1420.0,1.0000000000000027
lightgbm_regression,20,rank_decay_top20,0.0,0.0,1420.0,1.0000000000000029
lightgbm_regression,20,buffer_top20_exit30,0.0,0.0,1420.0,1.000000000000002
lightgbm_regression,20,sector_balanced_top20,0.0,0.0,1420.0,1.000000000000005
