factor,2024_mean,2024_std,2024_median,2024_missing_ratio,2024_cross_sectional_dispersion,2024_p10,2024_p90,2025_mean,2025_std,2025_median,2025_missing_ratio,2025_cross_sectional_dispersion,2025_p10,2025_p90,mean_shift_in_2024_std,psi_2024_to_2025,drift_status
benchmark_weight_rank,0.3119196156968996,0.11252208869110922,0.31847968545216254,0.0,0.11272584166908753,0.15259740259740262,0.464935064935065,0.3105223500301493,0.11349199268604408,0.31266490765171506,0.0,0.11370372034577833,0.14980289093298294,0.46596858638743455,-0.012417701119875368,0.0028193614832411514,LOW
cash_ratio_change_rank,-0.01745741101648973,0.273238864866157,0.0,0.0,0.2733989487727473,-0.4043478260869565,0.3867924528301887,-0.018951533263236127,0.2764309768121653,0.0,0.0,0.276702035890775,-0.40802919708029195,0.3755490483162518,-0.00546819079883924,0.012721833399874753,LOW
deducted_profit_growth_change_rank,-0.002761615555869025,0.277882905654344,0.0,0.0,0.2780927949164534,-0.38320209973753283,0.39803921568627454,-0.007625980719593936,0.2716528053675061,-0.022427440633245366,0.0,0.2719411755246957,-0.3727034120734908,0.3799472295514512,-0.017505089606971544,0.01535135483654229,LOW
fcff_back_rank,0.012070672251056477,0.3150760510166107,0.0,0.0,0.31209080672902617,-0.4449275362318841,0.4429824561403509,0.0015630827742390812,0.31791945881608225,0.0,0.0,0.31397341160054887,-0.4442815249266862,0.44273127753303965,-0.033349375310862454,0.005127735976849272,LOW
fundamental_freshness_rank,-0.0024749382459067727,0.29279514020369596,-0.007874015748031482,0.0,0.2927484687393799,-0.42287581699346405,0.349609375,0.01693158462588991,0.292507834461229,0.04281949934123852,0.0,0.2925754805870979,-0.42480211081794195,0.33311345646437995,0.06628020826539563,0.27147400987292375,SEVERE
gross_margin_change_rank,-0.003402396301485626,0.24750741927408995,0.0,0.0,0.24603063816217996,-0.3575624082232012,0.35043988269794724,0.00853432483640638,0.25132059859731304,0.0,0.0,0.2508862144486823,-0.3533724340175953,0.3649045521292217,0.048227730598545286,0.006872144686641075,LOW
gross_margin_yoy_change_rank,-0.009538476278792413,0.26337232256724236,0.0,0.0,0.2634943948947913,-0.3793604651162791,0.3698830409356725,-0.000425563923902397,0.26346962033911664,0.0,0.0,0.26379312395844945,-0.37812041116005873,0.37683284457478006,0.0346008732658815,0.008371385396705875,LOW
industry_momentum,0.02043654349432033,0.28592188575461125,0.01851851851851849,0.0,0.28247855061865595,-0.375,0.4130434782608695,0.020947404070631014,0.28767505377118774,0.020000000000000018,0.0,0.28576261453605317,-0.375,0.41666666666666663,0.0017867137905949759,0.000525857439843325,LOW
intraday_strength_20_rank,0.010801682397364792,0.29266767431811014,0.024675324675324628,0.0,0.28870210537645363,-0.4017038007863696,0.4033942558746736,0.006809604204178118,0.29277467235235516,0.013761467889908285,0.0,0.2909810284949203,-0.4041994750656168,0.40263157894736845,-0.013640311327473606,0.0008748244859724398,LOW
liquidity,0.2168819262694998,0.21869202147850042,0.26983094928478546,0.0,0.21869768886190433,-0.14705882352941174,0.45833333333333337,0.20027649824435861,0.21767674445264298,0.24375821287779242,0.0,0.21788545521946592,-0.14388961892247043,0.45538057742782156,-0.07593065312981091,0.014198019811731176,LOW
low_volatility,0.019331893350382785,0.28915646363888614,0.02015604681404426,0.0,0.28671814446020527,-0.3763020833333333,0.4214659685863874,0.00854386045325795,0.29272655218887356,0.01187335092348285,0.0,0.29228696415373573,-0.39473684210526316,0.411957950065703,-0.037308634783269096,0.00551490224414654,LOW
momentum,0.005764845054692867,0.29711526461096804,0.014993481095176064,0.0,0.2932501001517783,-0.40980392156862744,0.40767230169050717,0.012681579335082908,0.2967645856645574,0.022996057818659654,0.0,0.2956992075329094,-0.4041994750656168,0.4134993446920052,0.023279632870584963,0.0011267950374551727,LOW
operating_cash_margin_rank,0.034490213654341,0.2873163239635306,0.05321944809461232,0.0,0.2873437653465589,-0.3925294888597641,0.41753926701570676,0.04960602759658873,0.28784067893934256,0.0755968169761273,0.0,0.2883419056504253,-0.38507265521796563,0.4233817701453104,0.05261035549155362,0.009674087940790305,LOW
profit_growth_change_rank,0.0015750418040730635,0.2766040734926168,0.0006570302233902536,0.0,0.27668715340372824,-0.38390501319261217,0.39453125,-0.007306529459835043,0.2714096535789118,-0.01978891820580475,0.0,0.2715681934048253,-0.3812664907651715,0.39550264550264547,-0.03210932923641552,0.010615294369417036,LOW
quality,0.07490426863429084,0.2767646090994941,0.10704960835509136,0.0,0.27689447248052174,-0.3241469816272966,0.4344692005242464,0.08245032683063554,0.28017059705442127,0.11710526315789471,0.0,0.280633435208726,-0.33662714097496704,0.43700787401574803,0.02726525700268262,0.011045493112598219,LOW
revenue_growth_change_rank,-0.0010938906352208513,0.27658258329038704,-0.0013123359580052285,0.0,0.27692534495511556,-0.390625,0.3934210526315789,0.01140110172564363,0.280391756078413,0.00461133069828723,0.0,0.2806340408402509,-0.3814385271479092,0.4063324538258575,0.04517635279928619,0.010180122619405766,LOW
roic_rank,0.07924115340010614,0.2641408413338043,0.05507246376811592,0.0,0.2642509514556449,-0.3081395348837209,0.4391304347826087,0.08966281092731761,0.26828844143932007,0.08002936857562404,0.0,0.26864595876239733,-0.3035190615835777,0.4428152492668622,0.03945492667694371,0.006084191287750454,LOW
short_reversal,-0.0013671413915465043,0.2949385714669149,-0.0038961038961038974,0.0,0.2887683073068253,-0.40522875816993464,0.40813648293963256,-0.003644652223618416,0.2951159202215278,-0.006583281325844265,0.0,0.2922734745515599,-0.40789473684210525,0.40741469816272957,-0.007721983668478554,0.0001883877847582707,LOW
volatility_60_rank,0.021923069031713004,0.290618556712742,0.023498694516971286,0.0,0.28952761459287407,-0.3785900783289817,0.424380704041721,0.016833029153798675,0.295648002428922,0.02825229960578185,0.0,0.2953884349925024,-0.39224704336399474,0.42277486910994766,-0.0175145040134017,0.006473567872100296,LOW
volume_trend_60_rank,0.004234010898574033,0.2758677725965811,0.004551365409622865,0.0,0.270510753612204,-0.3766404199475066,0.3835078534031413,0.02413981807185225,0.26539629108121443,0.02894736842105261,0.0,0.2624403491298791,-0.34756898817345594,0.3865435356200527,0.07215705910812474,0.011846963586872143,LOW
