model,horizon,broad_sector,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
v6,5,consumer,214,0.023741183868044538,0.3128378112587718,0.07588975185741345,0.5700934579439252,0.018884204543839135
v6,5,cyclical_manufacturing,1455,-0.003813608059384106,0.2259926413923376,-0.016874921395176934,0.49690721649484537,-0.007486903503884168
v6,5,finance_real_estate,1455,0.020894144650408914,0.3202909832561422,0.06523488247466369,0.5216494845360825,0.010135281712245392
v6,5,healthcare,887,0.0247969141477661,0.25284104960513454,0.09807313403615352,0.5682074408117249,0.017835791548251354
v6,5,other,382,0.015733778362736466,0.1887491119807619,0.08335815833846211,0.518324607329843,0.007386793179896733
v6,5,technology,1455,-0.025139162706298467,0.20869146143992184,-0.12046090689501227,0.44810996563573885,-0.018264635810159902
ridge,5,consumer,214,0.03608259173919581,0.30294198886461654,0.1191072649731661,0.5747663551401869,0.042307052347564905
ridge,5,cyclical_manufacturing,1455,0.046883783629450955,0.21741943437168956,0.21563750161037007,0.5862542955326461,0.029131879419902272
ridge,5,finance_real_estate,1455,0.0537036114672355,0.3242976246394923,0.16559976819730177,0.5608247422680412,0.04511763803809795
ridge,5,healthcare,887,0.0027050757011935485,0.23477625714525435,0.011521930428935742,0.5084554678692221,-1.3956209349954432e-06
ridge,5,other,382,-0.00428284027793486,0.23904021179445117,-0.017916819290712645,0.4869109947643979,-0.022071595949669186
ridge,5,technology,1455,0.025270184840434435,0.22393237049283463,0.1128473957776597,0.5230240549828179,0.015089459411721379
lightgbm_regression,5,consumer,214,0.02996901410969548,0.318389033817013,0.09412702991183894,0.514018691588785,0.028961707260496097
lightgbm_regression,5,cyclical_manufacturing,1455,0.04372070526621049,0.20773597794143622,0.2104628466357233,0.5752577319587628,0.030540870638153236
lightgbm_regression,5,finance_real_estate,1455,0.05945197002409302,0.3343230216327784,0.17782792741504735,0.563573883161512,0.0547345008806026
lightgbm_regression,5,healthcare,887,0.022026149380469002,0.23807678266059698,0.09251699865194142,0.5366403607666291,0.01945119576026551
lightgbm_regression,5,other,382,0.010859391916716378,0.22020403016004347,0.049315137006456296,0.5104712041884817,-0.012862262294588294
lightgbm_regression,5,technology,1455,0.014348514948944442,0.2140569535714282,0.06703129568811936,0.5017182130584192,0.009160923440541665
v6,20,consumer,197,-0.012509217089479885,0.30705238778426086,-0.040739683477951094,0.45685279187817257,0.00908378207570753
v6,20,cyclical_manufacturing,1455,-0.024247402837704057,0.22513209821516386,-0.10770300205939654,0.4756013745704467,-0.022064514879964126
v6,20,finance_real_estate,1455,0.00475491192247425,0.3157917539918602,0.01505711236081488,0.5237113402061856,-0.004797365342068783
v6,20,healthcare,860,0.01796621790007395,0.25775712152537483,0.06970212032843977,0.5465116279069767,0.01936653987180399
v6,20,other,382,0.028250903633860368,0.1860078246770404,0.15188018935714953,0.5602094240837696,0.00942508188984718
v6,20,technology,1455,-0.037142432800402934,0.2071871218571179,-0.17926998776505718,0.41580756013745707,-0.033308260423834946
ridge,20,consumer,197,0.013213847101451801,0.2934478232429877,0.04502963066967498,0.5025380710659898,0.030745747810666087
ridge,20,cyclical_manufacturing,1455,0.0639606671069123,0.21864171379369282,0.292536433222732,0.6261168384879725,0.04758739444106046
ridge,20,finance_real_estate,1455,0.07928139883857316,0.30299310088235865,0.26166073949437973,0.6027491408934708,0.0722128415257878
ridge,20,healthcare,860,0.019175798651338186,0.2224235782277161,0.08621297617874892,0.5290697674418605,0.01722519089841052
ridge,20,other,382,-0.02445850699313999,0.21485610838657992,-0.11383668435962273,0.43455497382198954,-0.056506895527067176
ridge,20,technology,1455,0.023237752569956666,0.22648136772389718,0.1026033744121757,0.5539518900343643,0.014445410001173059
lightgbm_regression,20,consumer,197,0.012512089195521459,0.3401692382091032,0.03678195377510954,0.5380710659898477,0.04421713547611353
lightgbm_regression,20,cyclical_manufacturing,1455,0.06186744348446777,0.2105205612219273,0.2938783894806747,0.6185567010309279,0.049402864270869026
lightgbm_regression,20,finance_real_estate,1455,0.08475494712009995,0.3202937502194075,0.26461630007466946,0.6171821305841925,0.07696997197922766
lightgbm_regression,20,healthcare,860,0.048086881817935585,0.22229377114983132,0.21632131916788563,0.5976744186046512,0.04808240520749172
lightgbm_regression,20,other,382,0.00116092129921339,0.2164829022161494,0.005362646598548726,0.45287958115183247,-0.026340216020300414
lightgbm_regression,20,technology,1455,0.005802955605607049,0.22415582190596825,0.025888043220404718,0.49759450171821307,-0.008672799327645555
