model,horizon,portfolio_policy,top_k,weighting,buffer_exit_rank,sector_balanced,periods,gross_total_return,transaction_cost_sum,net_total_return,research_proxy_return,gross_research_proxy_alpha,net_research_proxy_alpha,net_cagr,sharpe,sortino,max_drawdown,average_one_way_turnover,annualized_turnover,average_transaction_cost,average_maximum_sector_weight,average_size_rank,average_liquidity_rank,mean_top_minus_bottom_spread
v6,5,equal_top10,10,equal,,False,291,0.3606443138701969,0.38975999999999994,-0.07875918553764005,0.33084693030178647,0.02979738356841044,-0.4096061158394265,-0.014107460828732932,0.05453937842134779,0.1027020775496935,-0.43748948938946997,0.6378006872852233,32.14515463917525,0.0013393814432989689,0.4298969072164948,0.3355369476115436,0.2320711492251762,-0.0004577700320286773
v6,5,equal_top20,20,equal,,False,291,0.2934515208553157,0.33494999999999997,-0.0748762985106366,0.33084693030178647,-0.037395409446470795,-0.40572322881242306,-0.013389016260323294,0.05225258131313649,0.09210674752378176,-0.46128893526683756,0.5481099656357389,27.62474226804124,0.0011510309278350513,0.39810996563573875,0.3372071048438266,0.2407563451976408,-0.0009962840969590728
v6,5,equal_top30,30,equal,,False,291,0.2188188317416273,0.30050999999999994,-0.0977275078597466,0.33084693030178647,-0.11202809856015916,-0.42857443816153307,-0.01765355737274954,0.0357575760700623,0.06334527068991305,-0.4954429069001477,0.4917525773195875,24.78432989690721,0.0010326804123711338,0.39152348224513167,0.3365364771253789,0.2411326683743421,-0.0011102516191580228
v6,5,rank_weight_top20,20,rank,,False,291,0.2831954001244057,0.36857999999999996,-0.11261381029447048,0.33084693030178647,-0.047651530177380774,-0.44346074059625695,-0.02047995551087045,0.021364881205656883,0.03788572514835398,-0.46832600871737096,0.6031418753068237,30.398350515463914,0.0012665979381443297,0.4111765668466699,0.3372071048438266,0.2407563451976408,-0.0009962840969590728
v6,5,rank_decay_top20,20,rank_decay,,False,291,0.2935401559625386,0.385989301643169,-0.12088778716559878,0.33084693030178647,-0.037306774339247895,-0.45173471746738525,-0.0220678909340275,0.01529954381863315,0.02715969392160722,-0.45463617293124703,0.6316303414223026,31.83416920768405,0.001326423716986835,0.4239651451652599,0.3372071048438266,0.2407563451976408,-0.0009962840969590728
v6,5,buffer_top20_exit30,20,equal,30.0,False,291,0.12170467870049584,0.252525,-0.12887250456001564,0.33084693030178647,-0.20914225160129063,-0.4597194348618021,-0.023612071817940783,0.00827286522214581,0.01421298088215122,-0.4826345379383691,0.41323024054982815,20.826804123711337,0.0008677835051546392,0.393127147766323,0.3383052069532281,0.23891528239593993,-0.0014818527625791921
v6,5,sector_balanced_top20,20,equal,,True,291,0.3685901351127303,0.3561599999999999,-0.04165367803531583,0.33084693030178647,0.03774320481094384,-0.3725006083371023,-0.00734171928464844,0.07775682032301115,0.13985553992715363,-0.4331678080815625,0.5828178694158075,29.374020618556695,0.0012239175257731955,0.3517182130584192,0.33466383262559607,0.2499693490099918,-0.0008075698040773755
ridge,5,equal_top10,10,equal,,False,291,0.099164496267653,0.31437,-0.19764227814478752,0.33084693030178647,-0.23168243403413347,-0.528489208446574,-0.0374197685747677,-0.054960722118051863,-0.09775374365354957,-0.45374035578731897,0.5144329896907216,25.927422680412366,0.0010803092783505154,0.4302405498281788,0.33229966725825744,0.06681109890582916,0.0017184686940150845
ridge,5,equal_top20,20,equal,,False,291,0.25282267024803917,0.27951,-0.05285957562040411,0.33084693030178647,-0.0780242600537473,-0.3837065059221906,-0.009361809475171179,0.057972565558220134,0.10324609929259133,-0.33681497417714046,0.45738831615120285,23.05237113402062,0.0009605154639175257,0.4010309278350515,0.33019180307328405,0.09202455915422236,0.0002362874035888532
ridge,5,equal_top30,30,equal,,False,291,0.35333987954539725,0.25893,0.04459478958284668,0.33084693030178647,0.022492949243610783,-0.2862521407189398,0.007584992802591728,0.13649779933256412,0.2581276779389899,-0.3098709698113912,0.4237113402061855,21.35505154639175,0.0008897938144329896,0.3892325315005727,0.32905721553295664,0.10784539336171821,0.0006857924545191553
ridge,5,rank_weight_top20,20,rank,,False,291,0.13501682290408223,0.30133999999999994,-0.16054333101995233,0.33084693030178647,-0.19583010739770423,-0.4913902613217388,-0.02985462825100582,-0.034163911869798266,-0.061100615746956036,-0.4271794609303038,0.49311078383243334,24.85278350515464,0.0010355326460481098,0.41148748159057436,0.33019180307328405,0.09202455915422236,0.0002362874035888532
