model,horizon,regime,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
v6,5,neutral,825,-0.006223112467028467,0.16925056908568484,-0.036768635406348046,0.4727272727272727,-0.012769235829408806
v6,5,risk_off,333,-0.010994825036231849,0.1682959288286651,-0.06533030901433873,0.4954954954954955,-0.012528440481673571
v6,5,risk_on,297,0.006621322157550559,0.18358745457828984,0.03606631059164739,0.5286195286195287,-0.006065424306593355
ridge,5,neutral,825,0.03317712187675702,0.19183144618769213,0.1729493393085083,0.5733333333333334,0.010939196898143827
ridge,5,risk_off,333,0.012316211433927698,0.18782345450911553,0.06557334101918545,0.5045045045045045,0.007940370269895565
ridge,5,risk_on,297,0.04984964377823657,0.22764017223680422,0.21898438789784497,0.5589225589225589,0.007058815278989567
lightgbm_regression,5,neutral,825,0.03325102175529706,0.18100901311570466,0.18369815504182838,0.5842424242424242,0.01627177690454878
lightgbm_regression,5,risk_off,333,0.021239683145182455,0.17405832359538345,0.12202624216096837,0.5405405405405406,0.01659863452792494
lightgbm_regression,5,risk_on,297,0.04663000441214112,0.21462218926177665,0.2172655333194187,0.5656565656565656,0.008007772194579621
v6,20,neutral,825,-0.018530256073399785,0.17695704161405343,-0.10471612717065318,0.4618181818181818,-0.02595549466076645
v6,20,risk_off,333,-0.027410752319450647,0.14912466355911347,-0.18381099185906924,0.43843843843843844,-0.02357838887420421
v6,20,risk_on,297,-0.024424380444900137,0.18442437867050568,-0.1324357474915882,0.4511784511784512,-0.028477063174066605
ridge,20,neutral,825,0.054065599429188524,0.1952496686169545,0.2769049484803773,0.5842424242424242,0.025230335926172263
ridge,20,risk_off,333,0.021259887646237607,0.17982241499968157,0.11822712783762387,0.5255255255255256,0.009186190076070506
ridge,20,risk_on,297,0.03262237841792866,0.2519001068505593,0.1295052186590854,0.5892255892255892,0.0010684757424992493
lightgbm_regression,20,neutral,825,0.0552217495773575,0.18451758046433728,0.2992763585908309,0.6,0.030425754356092787
lightgbm_regression,20,risk_off,333,0.01871841767637928,0.176857525241466,0.10583896642691776,0.5195195195195195,0.0012189114197912341
lightgbm_regression,20,risk_on,297,0.03986497352674974,0.23058345707907377,0.17288739631082417,0.6127946127946128,0.013022329033784094
