model,horizon,test_year,training_window_years,weighting,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
ridge,5,2020,3,equal,243,0.01952202033355376,0.15094850345961283,0.12932900880847084,0.5843621399176955,-0.010339700839742045
ridge,5,2020,5,equal,243,0.0121197781656126,0.17062457153052987,0.07103184527818143,0.5102880658436214,-0.020961166678081608
ridge,5,2020,5,exponential_half_life_2y,243,0.014023389822070293,0.1562105400443963,0.08977236630821922,0.5555555555555556,-0.016734951873865624
ridge,5,2020,8,equal,243,0.017552415543544028,0.15090620320599532,0.11631341303832295,0.5390946502057613,-0.011850154703848679
ridge,20,2020,3,equal,243,-0.003199570249395187,0.1616674083664359,-0.019791065383710674,0.4691358024691358,-0.029186332643609224
ridge,20,2020,5,equal,243,-0.01994539482424526,0.17294169667518902,-0.11533016737834928,0.42386831275720166,-0.047723452741088815
ridge,20,2020,5,exponential_half_life_2y,243,-0.004972742370021746,0.14925050793956,-0.03331809344351104,0.4609053497942387,-0.02764915587226413
ridge,20,2020,8,equal,243,-0.005421840804356287,0.15275482437532895,-0.03549374513393081,0.4444444444444444,-0.029901947197915
ridge,5,2021,3,equal,243,0.017222728491327246,0.12929304275473946,0.13320692377854892,0.5802469135802469,0.0029521663156178426
ridge,5,2021,5,equal,243,0.03259921305231214,0.16638204073406396,0.19592987866050374,0.5967078189300411,0.015903400332385065
ridge,5,2021,5,exponential_half_life_2y,243,0.023357136403162695,0.14083524216848278,0.1658472413830928,0.5473251028806584,0.010416209325361168
ridge,5,2021,8,equal,243,0.03202545248467947,0.15168225624578055,0.21113512732027512,0.5925925925925926,0.01803512103478687
ridge,20,2021,3,equal,243,-0.0071262026795557544,0.11830456927063047,-0.06023607307384753,0.5267489711934157,-0.021977887861788836
ridge,20,2021,5,equal,243,0.05292773575173156,0.14757274048926694,0.358655233861304,0.5720164609053497,0.025126728189553957
ridge,20,2021,5,exponential_half_life_2y,243,0.023128316859372382,0.11145229785172697,0.2075176313559874,0.5596707818930041,0.0038678554303291737
ridge,20,2021,8,equal,243,0.047277352868260576,0.13861783673586694,0.3410625499685619,0.5967078189300411,0.018602295499740906
ridge,5,2022,3,equal,242,0.012192741029267326,0.14523099086645888,0.0839541268466498,0.5371900826446281,0.01630323344678515
