model,horizon,portfolio_policy,exited_count,entered_count,universe_churn_count,forced_exit_count,ranking_churn_count,near_cutoff_score_noise_count,cross_sector_ranking_exit_count
v6,5,equal_top10,1846.0,1856.0,27.0,0.0,1819.0,519.0,514.0
v6,5,equal_top20,3170.0,3190.0,53.0,0.0,3117.0,673.0,575.0
v6,5,equal_top30,4263.0,4293.0,85.0,0.0,4178.0,789.0,494.0
v6,5,rank_weight_top20,3170.0,3190.0,53.0,0.0,3117.0,673.0,575.0
v6,5,rank_decay_top20,3170.0,3190.0,53.0,0.0,3117.0,673.0,575.0
v6,5,buffer_top20_exit30,2385.0,2405.0,45.0,0.0,2340.0,0.0,547.0
v6,5,sector_balanced_top20,3372.0,3392.0,54.0,0.0,3318.0,748.0,14.0
ridge,5,equal_top10,1487.0,1497.0,94.0,0.0,1393.0,519.0,506.0
ridge,5,equal_top20,2642.0,2662.0,158.0,0.0,2484.0,669.0,676.0
ridge,5,equal_top30,3669.0,3699.0,206.0,0.0,3463.0,836.0,737.0
ridge,5,rank_weight_top20,2642.0,2662.0,158.0,0.0,2484.0,669.0,676.0
ridge,5,rank_decay_top20,2642.0,2662.0,158.0,0.0,2484.0,669.0,676.0
ridge,5,buffer_top20_exit30,1955.0,1975.0,157.0,0.0,1798.0,0.0,602.0
ridge,5,sector_balanced_top20,2712.0,2732.0,172.0,0.0,2540.0,627.0,26.0
lightgbm_regression,5,equal_top10,1406.0,1416.0,224.0,0.0,1182.0,441.0,424.0
lightgbm_regression,5,equal_top20,2448.0,2468.0,297.0,0.0,2151.0,606.0,581.0
lightgbm_regression,5,equal_top30,3311.0,3341.0,351.0,0.0,2960.0,702.0,683.0
lightgbm_regression,5,rank_weight_top20,2448.0,2468.0,297.0,0.0,2151.0,606.0,581.0
lightgbm_regression,5,rank_decay_top20,2448.0,2468.0,297.0,0.0,2151.0,606.0,581.0
lightgbm_regression,5,buffer_top20_exit30,1803.0,1823.0,286.0,0.0,1517.0,0.0,502.0
lightgbm_regression,5,sector_balanced_top20,2859.0,2879.0,312.0,0.0,2547.0,566.0,24.0
v6,20,equal_top10,537.0,547.0,13.0,0.0,524.0,120.0,148.0
v6,20,equal_top20,941.0,961.0,27.0,0.0,914.0,164.0,162.0
v6,20,equal_top30,1271.0,1301.0,37.0,0.0,1234.0,198.0,115.0
v6,20,rank_weight_top20,941.0,961.0,27.0,0.0,914.0,164.0,162.0
v6,20,rank_decay_top20,941.0,961.0,27.0,0.0,914.0,164.0,162.0
v6,20,buffer_top20_exit30,763.0,783.0,24.0,0.0,739.0,0.0,155.0
v6,20,sector_balanced_top20,949.0,969.0,20.0,0.0,929.0,173.0,5.0
ridge,20,equal_top10,453.0,463.0,30.0,0.0,423.0,113.0,144.0
ridge,20,equal_top20,820.0,840.0,52.0,0.0,768.0,185.0,142.0
ridge,20,equal_top30,1117.0,1147.0,82.0,0.0,1035.0,200.0,160.0
ridge,20,rank_weight_top20,820.0,840.0,52.0,0.0,768.0,185.0,142.0
ridge,20,rank_decay_top20,820.0,840.0,52.0,0.0,768.0,185.0,142.0
ridge,20,buffer_top20_exit30,628.0,648.0,55.0,0.0,573.0,0.0,138.0
ridge,20,sector_balanced_top20,838.0,858.0,60.0,0.0,778.0,168.0,5.0
lightgbm_regression,20,equal_top10,380.0,390.0,40.0,0.0,340.0,113.0,122.0
lightgbm_regression,20,equal_top20,695.0,715.0,66.0,0.0,629.0,157.0,136.0
lightgbm_regression,20,equal_top30,958.0,988.0,86.0,0.0,872.0,174.0,152.0
lightgbm_regression,20,rank_weight_top20,695.0,715.0,66.0,0.0,629.0,157.0,136.0
lightgbm_regression,20,rank_decay_top20,695.0,715.0,66.0,0.0,629.0,157.0,136.0
lightgbm_regression,20,buffer_top20_exit30,527.0,547.0,63.0,0.0,464.0,0.0,148.0
lightgbm_regression,20,sector_balanced_top20,829.0,849.0,77.0,0.0,752.0,152.0,5.0
