model,horizon,test_year,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
v6,5,2020,243,0.04130452038992767,0.12688463680987294,0.32552814452879253,0.6296296296296297,0.019369083141395516
v6,5,2021,243,-0.014308607103152808,0.15368770113103958,-0.09310183572173275,0.4567901234567901,-0.009352556144373457
v6,5,2022,242,-0.020577867496464015,0.16846034533401658,-0.1221525900096134,0.47107438016528924,-0.006311812978285786
v6,5,2023,242,-0.049852938563870595,0.15036995763907235,-0.33153523048487404,0.35537190082644626,-0.04213844442142216
v6,5,2024,242,0.0406897720085442,0.1516941159503412,0.26823566460458137,0.5991735537190083,0.022995082239323523
v6,5,2025,243,-0.02547937666553165,0.23962900424656614,-0.10632843359526988,0.42386831275720166,-0.05260034950691819
ridge,5,2020,243,0.017552415543544028,0.15090620320599532,0.11631341303832295,0.5390946502057613,-0.011850154703848679
ridge,5,2021,243,0.03202545248467947,0.15168225624578055,0.21113512732027512,0.5925925925925926,0.01803512103478687
ridge,5,2022,242,0.015457711487247255,0.18239040188879768,0.08475068494378189,0.5,0.0242544286206472
ridge,5,2023,242,0.04708555883443957,0.15950554452817667,0.2951970038014691,0.6115702479338843,0.0122978416765345
ridge,5,2024,242,0.07112325899335996,0.25393571251932384,0.28008371996100256,0.5991735537190083,0.046646527541923596
ridge,5,2025,243,0.0077491610405724136,0.25829227579794717,0.03000152062864747,0.48559670781893005,-0.032393444513488384
lightgbm_regression,5,2020,243,0.02147412575226139,0.13912872612309687,0.15434717438052106,0.5637860082304527,-0.006323792021235644
lightgbm_regression,5,2021,243,0.035736894675426026,0.1367165298231923,0.26139410297820254,0.6296296296296297,0.025092004734231538
lightgbm_regression,5,2022,242,0.023590848959692327,0.15459641682725292,0.1525963501861295,0.5743801652892562,0.037613160643333275
lightgbm_regression,5,2023,242,0.0391741705475571,0.15960066808299378,0.2454511689586799,0.5743801652892562,0.007783077363939398
lightgbm_regression,5,2024,242,0.07111686271966396,0.23701389877511547,0.30005355418899443,0.5909090909090909,0.04953140422425205
lightgbm_regression,5,2025,243,0.008445783057739381,0.25376800218963136,0.03328151297588796,0.4897119341563786,-0.025527965117057985
v6,20,2020,243,0.0516743978376153,0.1097228534148641,0.4709538280255387,0.7078189300411523,0.027677480340739784
v6,20,2021,243,-0.04006297741632898,0.1410629869025843,-0.2840077209197037,0.411522633744856,-0.03485538894789764
v6,20,2022,242,-0.03282797269048602,0.1434900405981967,-0.22878223849982368,0.3884297520661157,-0.012209035332627056
v6,20,2023,242,-0.09064668852523759,0.12445869193680702,-0.7283275046090214,0.25206611570247933,-0.07655923875051315
v6,20,2024,242,0.056671571368330675,0.15951298215091336,0.35527874035176876,0.6446280991735537,0.0339046431378863
v6,20,2025,243,-0.075409506972719,0.25681240625955937,-0.2936365422179133,0.32098765432098764,-0.09342116820020288
ridge,20,2020,243,-0.005421840804356287,0.15275482437532895,-0.03549374513393081,0.4444444444444444,-0.029901947197915
ridge,20,2021,243,0.047277352868260576,0.13861783673586694,0.3410625499685619,0.5967078189300411,0.018602295499740906
ridge,20,2022,242,0.02786170034876172,0.14160560871244499,0.19675562714002232,0.5619834710743802,0.04011407673889182
ridge,20,2023,242,0.11665570514096539,0.17500651200672598,0.6665792249861079,0.7479338842975206,0.066528576686916
ridge,20,2024,242,0.10212149930011899,0.2509913526343011,0.40687258038292595,0.6818181818181818,0.07031719697767239
ridge,20,2025,243,-0.03491767854020176,0.28214531914271845,-0.12375778072908322,0.3991769547325103,-0.06537902347753104
lightgbm_regression,20,2020,243,0.01426648420911642,0.1385441870923938,0.10297425325829251,0.49382716049382713,-0.008796336515574408
lightgbm_regression,20,2021,243,0.046500550105520295,0.11820983094236141,0.39337295159650265,0.6419753086419753,0.020905358675404218
lightgbm_regression,20,2022,242,0.030088593841527123,0.1112969228990336,0.27034524457448755,0.5413223140495868,0.0401764049984444
lightgbm_regression,20,2023,242,0.10782504536272094,0.15458504712983734,0.6975127760717875,0.7644628099173554,0.060910138055490066
lightgbm_regression,20,2024,242,0.09547283341131214,0.2596598680036136,0.36768420990641293,0.6818181818181818,0.06446555878348877
lightgbm_regression,20,2025,243,-0.031336798709561284,0.27430902873968904,-0.1142390349072285,0.38271604938271603,-0.05609598543166319
