feature_a,feature_b,correlation,above_0_90
volatility_60_rank,downside_volatility_60_rank,0.933678068265167,True
revenue_growth_rank,growth,0.904903471147992,True
profit_growth_rank,growth,0.900612848136087,True
roe_rank,roic_rank,0.8978448576709803,False
profit_growth_rank,deducted_profit_growth_rank,0.8932715831050474,False
inventory_turnover_rank,operating_cycle_rank,0.8894591653492147,False
low_volatility,volatility_60_rank,0.8883990846719355,False
roe_change_rank,roic_change_rank,0.8841426464035375,False
growth,deducted_profit_growth_rank,0.8472331006722796,False
roic_rank,quality,0.8420831024848614,False
low_volatility,downside_volatility_60_rank,0.8178662325204055,False
momentum,intraday_strength_20_rank,0.8112065555115093,False
profit_growth_change_rank,deducted_profit_growth_change_rank,0.795161034689896,False
book_to_price_rank,earnings_yield_rank,0.7828323424387065,False
drawdown_120_rank,price_position_120_rank,0.7702584291403222,False
momentum_120_rank,price_position_120_rank,0.7702311213886621,False
roe_rank,quality,0.7527754464247913,False
momentum,price_position_120_rank,0.7519324653518498,False
