feature,feature_group,mean_gain_importance,std_gain_importance,mean_importance_rank,rank_stability,active_fold_ratio,classification
volatility_60_rank,risk,0.14190427413092074,0.07655350608451048,4.916666666666667,0.09439452440348685,0.8333333333333334,unstable_or_regime
liquidity,liquidity,0.07185063138825946,0.006786726010501895,4.0,0.6125741132772068,1.0,stable
revenue_growth_change_rank,fundamental,0.06063196864710679,0.01592341742958316,6.333333333333333,0.2791745113185196,1.0,stable
profit_growth_change_rank,fundamental,0.05758576666256662,0.014417554140108096,6.833333333333333,0.2319326878132386,1.0,stable
deducted_profit_growth_rank,fundamental,0.05381266933581367,0.04220314228334472,9.75,0.08662541969116502,0.6666666666666666,unstable_or_regime
benchmark_weight_rank,price_behavior,0.0534184240249917,0.06047104007427016,13.25,0.07505390252769668,0.5,unstable_or_regime
gross_margin_change_rank,fundamental,0.051107007554674254,0.009302435954765239,9.166666666666666,0.2319326878132386,1.0,stable
momentum,price_behavior,0.045756153030737524,0.02303883800398369,10.5,0.1437155838813476,0.8333333333333334,unstable_or_regime
gross_margin_yoy_change_rank,fundamental,0.044198127952228085,0.014966385478585113,11.166666666666666,0.21477454626838302,1.0,stable
operating_cash_margin_rank,fundamental,0.041509823446281686,0.046622210179542774,14.416666666666666,0.08272731216915705,0.5,unstable_or_regime
deducted_profit_growth_change_rank,fundamental,0.04006657519507712,0.01007311982016705,12.0,0.2158344610587697,1.0,stable
revenue_growth_rank,fundamental,0.037957672443720405,0.04351955302520973,13.75,0.08443663422259509,0.5,unstable_or_regime
intraday_strength_20_rank,price_behavior,0.0350641389714283,0.005421489231251342,13.166666666666666,0.46103234850003305,1.0,stable
quality,fundamental,0.03425469916291156,0.03883756606869512,14.5,0.08922325701685926,0.5,unstable_or_regime
low_volatility,risk,0.027643183457559135,0.014057248098699645,15.583333333333334,0.1730314669758829,0.8333333333333334,stable
volume_trend_60_rank,liquidity,0.025484646807641537,0.022273270784864376,17.0,0.13113537317927687,0.6666666666666666,unstable_or_regime
