feature,feature_group,sign_consistency,turnover_proxy_one_minus_observation_rank_persistence,dates,pearson_ic_mean,pearson_ic_median,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,rank_ic_t_stat
volatility_60_rank,risk,0.5690376569037657,0.002484493083443673,1434,0.02012734361759708,-0.0033759747030489783,0.06414777305231016,0.05923887568004258,0.30002889813192685,0.21380531492704247,0.5690376569037657,8.096420814098552
low_volatility,risk,0.5711297071129707,0.014352841950197592,1434,0.012953818399614883,0.006409424228422897,0.05672255351915468,0.06972559499608771,0.2798862571603889,0.20266287489295984,0.5711297071129707,7.674476750441504
downside_volatility_60_rank,risk,0.5516039051603905,0.004664532324740955,1434,0.01188256605199178,-0.016574092826517117,0.051321414794067564,0.0489187484027756,0.2926746915443338,0.1753531011624676,0.5516039051603905,6.640304982843818
liquidity,liquidity,0.5899581589958158,0.04746852196510176,1434,-0.021944058126224613,-0.015788094061325343,-0.036066492498396996,-0.033471013388846886,0.12559871332878536,-0.2871565443826174,0.4100418410041841,-10.874099288118193
fundamental_coverage,fundamental,0.5725244072524407,2.950241421417754e-05,1434,-0.009172863016687521,0.0037974761354463127,-0.028845311322613445,-0.0313473854582297,0.17103967207461115,-0.16864690497085674,0.42747559274755925,-6.3863534548019905
intraday_strength_20_rank,price_behavior,0.5376569037656904,0.06378627896047473,1434,-0.013506807214518558,-0.006507102182162333,-0.026338876287531763,-0.013872687740698112,0.1862858753446224,-0.14138955108005777,0.46234309623430964,-5.354166731782403
volume_trend_60_rank,liquidity,0.5536959553695955,0.013781622156780915,1434,-0.01890015248988659,-0.01996207991953717,-0.02626363318553289,-0.02497987619761701,0.14079075272714128,-0.18654373726116072,0.44630404463040446,-7.064074144351233
fixed_asset_turnover_rank,fundamental,0.5843793584379359,0.004486750897914615,1434,-0.01811248820982857,-0.020192694294972592,-0.023565617346335086,-0.026814852819646455,0.11369731991952332,-0.2072662518607755,0.41562064156206413,-7.848798315413275
staff_average_revenue_change_rank,fundamental,0.5508474576271186,0.04847282701046218,118,0.03375787884398055,0.012569455513647874,0.02302714909257703,0.0039008921434615677,0.06786561930102379,0.3393050756737094,0.5508474576271186,3.685796556593583
earnings_yield_rank,fundamental,0.5536959553695955,0.0025757141484379353,1434,0.005093917706276765,0.0030321995740634515,0.02217169180362114,0.02509828861017211,0.16750932898527077,0.13236093737543844,0.5536959553695955,5.012269450391249
momentum,price_behavior,0.5237099023709902,0.059391286258098974,1434,-0.008547071590680409,0.002000459966881604,-0.022039705083002722,-0.011567238931146048,0.19881159930532114,-0.11085723951727618,0.47629009762900976,-4.197963281349935
book_to_price_rank,fundamental,0.5592747559274756,0.0001534042293873661,1434,0.005192602034483462,0.008285084922169002,0.021638483745570303,0.036251224555064056,0.1822940294655938,0.1187010008446511,0.5592747559274756,4.494992344885844
operating_cash_margin_rank,fundamental,0.5906555090655509,0.006421254127219722,1434,0.01424335592767477,0.01748682623834525,0.020920131055394673,0.022732139000953874,0.10088397062395184,0.20736823626198375,0.5906555090655509,7.852660280345894
interest_debt_ratio_rank,fundamental,0.5376569037656904,0.00030193468976136284,1434,-0.0008526443232882435,0.011219337426841901,-0.020192691476820148,-0.015501793182500162,0.17537593314913233,-0.11513946705360724,0.46234309623430964,-4.360123497842625
revenue_growth_rank,fundamental,0.5683403068340307,0.004653348097794829,1434,-0.0038682357214404424,-0.013723128431510398,-0.019448860669758528,-0.03148197034258486,0.16915237074834313,-0.11497835107906125,0.4316596931659693,-4.354022327110536
benchmark_weight_rank,price_behavior,0.5529986052998606,0.0005347559805253255,1434,0.009343968287881286,0.017043841506618085,0.017726148141645536,0.015046325730848027,0.13066087280857103,0.13566531250419403,0.5529986052998606,5.137400163718818
operating_cycle_rank,fundamental,0.5620641562064156,0.0004928588879917761,1434,0.012726064847100567,0.012317345333189436,0.016957207482779634,0.02148565504872651,0.1259090394398027,0.13467823722765276,0.5620641562064156,5.10002140717669
debt_ratio_rank,fundamental,0.5418410041841004,0.00015948001778198773,1434,0.002501896154024688,0.0072379143304251575,-0.016066546517926744,-0.021871932446144264,0.18023835573621255,-0.08914055197796468,0.4581589958158996,-3.3755915780713965
gross_margin_yoy_change_rank,fundamental,0.5788005578800558,0.01548068824498039,1434,0.012288598411776219,0.00924622139633718,0.01602917742904385,0.015441290928588518,0.08143427186857817,0.19683576780685616,0.5788005578800558,7.453814737834333
staff_average_revenue_rank,fundamental,0.5563524590163935,0.049142519659673534,976,-0.013369200708628763,-0.014357279390207344,-0.01596437037487862,-0.01358128635362145,0.08557127915562901,-0.18656225000264542,0.44364754098360654,-5.82839101047831
revenue_growth_change_rank,fundamental,0.5599721059972106,0.015118328848017781,1434,0.020855093410968247,0.023169697942748865,0.014756053509202945,0.011449411408911456,0.108112425679745,0.13648804396373387,0.5599721059972106,5.168555516969531
roe_change_rank,fundamental,0.5258019525801952,0.025446994690292213,1434,0.012638763684752911,0.010851540149542045,0.01381717712918466,0.009242671995777451,0.1240566361322819,0.11137797670453815,0.5258019525801952,4.217682657376961
drawdown_120_rank,risk,0.5460251046025104,0.021896776969014042,1434,0.0023787982456633756,0.005545950615430546,0.01331980204640716,0.03416049624157104,0.23908731820308274,0.055711035392907,0.5460251046025104,2.109676210266476
fundamental_freshness_rank,fundamental,0.5592747559274756,0.05869096499368831,1434,-0.019475812136926597,-0.021032419601435905,-0.012861123441086822,-0.014370378454877411,0.09750662532363091,-0.13189999549671527,0.4407252440725244,-4.994814414616028
industry_momentum,industry_technology,0.504881450488145,0.08555917023886606,1434,-0.005289477922711626,0.00401519786989955,-0.012760178539494784,-0.0009293190717829262,0.129792445889801,-0.09831218182242046,0.49511854951185497,-3.72290462217041
cash_ratio_change_rank,fundamental,0.5592747559274756,0.0186633219130794,1434,0.01114696908797168,0.011431853754033428,0.01236915090284585,0.015770595836073726,0.08789147536457109,0.14073208865295525,0.5592747559274756,5.329269818059294
growth,fundamental,0.5383542538354253,0.004931369752575687,1434,0.0010299185131052127,-0.00792424831414736,-0.012346228473454846,-0.01739049935450756,0.17882057820239006,-0.0690425486684274,0.4616457461645746,-2.614516520733906
roic_change_rank,fundamental,0.5425383542538355,0.024942608799283228,1434,0.009842799185725854,0.011443583317078326,0.01233127375082736,0.010849007289433114,0.12266726582716247,0.10052619716984693,0.5425383542538355,3.806745381450664
debt_ratio_change_rank,fundamental,0.5697350069735008,0.018312769031482934,1434,-0.016866671746723905,-0.018578108274187086,-0.01216653255305245,-0.015110894657305687,0.09007719204751784,-0.13506784876946784,0.4302649930264993,-5.114775292025815
