experiment_id,score,samples,mean_delta,ci_lower,ci_upper,replications,block_length,seed,probability_bootstrap_delta_gt_zero,positive_daily_difference_ratio,fold_wins,folds
A_GEN2_BASELINE,gen2_baseline,1434,0.0,0.0,0.0,1000,20,42,,0.0,0,6
B1_SHALLOW_REG,lgbm_shallow,1434,-0.0017738157073458024,-0.008921515864602813,0.005640643209053867,1000,20,42,,0.4909344490934449,2,6
B2_STRONG_REG,lgbm_strong_reg,1434,-0.0025692307424452923,-0.010998385948108398,0.006094165864245214,1000,20,42,,0.4686192468619247,2,6
B3_EARLY_STOP_REG,lgbm_early_stop,1434,-0.0044981135781267025,-0.018614229139666153,0.009834214373172485,1000,20,42,,0.4609483960948396,3,6
C1_FULL61_REG,lgbm_full61,1434,-0.0028270916844137925,-0.01996698140790735,0.012970340749566761,1000,20,42,,0.5390516039051604,3,6
C2_STABLE_CORE_REG,lgbm_stable_core,1434,0.010348255539256003,-0.006077930899103568,0.028154911161093574,1000,20,42,,0.5285913528591353,4,6
C3_DE_REDUNDANT_REG,lgbm_dedup,1434,-0.0008026665782456391,-0.01834950338664119,0.015404391998007102,1000,20,42,,0.5481171548117155,3,6
C4_REMOVE_DEAD_REG,lgbm_dead_removed,1434,-0.0020081490159436256,-0.0178835024579949,0.012453996803383598,1000,20,42,,0.5237099023709902,3,6
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,1434,0.00674021647766579,-0.010021742809244083,0.02575676056337259,1000,20,42,,0.5104602510460251,4,6
F_REGIME_INTERACTIONS,lgbm_regime_interactions,1434,0.011364720322566945,-0.00531748958378176,0.03052259737634906,1000,20,42,,0.5299860529986054,4,6
G1_RIDGE_GEN2,ridge_gen2,1434,-0.0015960052594515056,-0.012074120733200317,0.009780419741040162,1000,20,42,,0.4881450488145049,3,6
G2_RIDGE_STABLE_CORE,ridge_stable_core,1434,0.014225518634288222,-0.007438386664729976,0.03899777575909536,1000,20,42,,0.5355648535564853,4,6
H1_ENSEMBLE_50_50,ensemble_50_50,1434,0.0011501936973217705,-0.004726424920171269,0.0076269036005167925,1000,20,42,,0.5237099023709902,4,6
H2_ENSEMBLE_PAST_IC,ensemble_past_ic,1434,0.0011569327219082667,-0.005205672284092337,0.00799342595822935,1000,20,42,,0.5216178521617852,4,6
H3_ENSEMBLE_REGIME,ensemble_regime,1434,0.0010690299779124843,-0.00564952375983582,0.008265988330490142,1000,20,42,,0.5181311018131102,3,6
I_RESIDUALIZED_SCORE,residualized_shallow,1434,-0.034895837695589474,-0.06905050220332966,-0.005742523119073248,1000,20,42,,0.3807531380753138,2,6
