experiment_id,score,samples,mean_delta,ci_lower,ci_upper,replications,block_length,seed,positive_delta_ratio,fold_wins,yearly_wins,folds
R0_GEN2_EXACT_REFERENCE,r0_gen2_exact_reference,1434,0.0,0.0,0.0,1000,20,42,0.0,0,0,6
R1_STABLE_CORE_RIDGE_HARNESS,r1_stable_core_ridge_harness,1434,0.014225518634288222,-0.007438386664729976,0.03899777575909536,1000,20,42,0.5355648535564853,4,4,6
A1_RESIDUAL_MOMENTUM,a1_residual_momentum,1434,0.012456307760368159,-0.011483238372042874,0.03554152379877883,1000,20,42,0.5418410041841004,4,4,6
A2_LIQUIDITY_SHOCK,a2_liquidity_shock,1434,0.01681012650633702,-0.003706374134082254,0.040291683411511924,1000,20,42,0.5327754532775453,4,4,6
A3_PRICE_PATH_SHAPE,a3_price_path_shape,1434,0.01153285899487755,-0.007687457298072956,0.035461569459886065,1000,20,42,0.5202231520223152,4,4,6
B1_RAW_FORWARD_RETURN,b1_raw_forward_return,1434,-0.038573900261813496,-0.07051604624159634,-0.01150832213086114,1000,20,42,0.41562064156206413,2,2,6
B2_SECTOR_NEUTRAL_RANK,b2_sector_neutral_rank,1434,0.011290911202016593,-0.009870297776922169,0.03754564760937862,1000,20,42,0.5223152022315202,4,4,6
B3_BETA_RESIDUAL_RANK,b3_beta_residual_rank,1434,0.017268053430893722,-0.010064698124484557,0.04814034826139627,1000,20,42,0.5488145048814504,4,4,6
B4_VOL_ADJUSTED_RANK,b4_vol_adjusted_rank,1434,0.003402381941806763,-0.016983259346538986,0.023565600074506532,1000,20,42,0.5132496513249651,3,3,6
B5_ROBUST_WINSORIZED,b5_robust_winsorized,1434,-0.026590326653386915,-0.04990270451169101,-0.006579999767038384,1000,20,42,0.43584379358437936,1,1,6
C1_DEV_SELECTED_SIGNAL_LABEL_RIDGE,c1_dev_selected_signal_label_ridge,1434,0.019047921442491678,-0.007472672573879835,0.04895699718618551,1000,20,42,0.5425383542538355,4,4,6
C2_DEV_SELECTED_SIGNAL_LABEL_LGBM,c2_dev_selected_signal_label_lgbm,1434,0.01420438813809992,-0.005784423335741337,0.03604955374366954,1000,20,42,0.5362622036262203,4,4,6
