factor_name,factor_group,source,lookback,pit_available,missing_ratio_after_existing_v10_processing,raw_source_coverage,coverage
roe_rank,fundamental,roe,latest PIT filing and prior PIT filing for change features,True,0.0,0.9947269446371422,1.0
roic_rank,fundamental,roic,latest PIT filing and prior PIT filing for change features,True,0.0,0.8668315948299984,1.0
debt_ratio_rank,fundamental,debt_ratio,latest PIT filing and prior PIT filing for change features,True,0.0,0.998656923023317,1.0
revenue_growth_rank,fundamental,revenue_growth,latest PIT filing and prior PIT filing for change features,True,0.0,0.9985460558200531,1.0
profit_growth_rank,fundamental,profit_growth,latest PIT filing and prior PIT filing for change features,True,0.0,0.9985460558200531,1.0
operating_cash_margin_rank,fundamental,operating_cash_margin,latest PIT filing and prior PIT filing for change features,True,0.0,0.9990919448113621,1.0
gross_margin_rank,fundamental,gross_margin,latest PIT filing and prior PIT filing for change features,True,0.0,0.8675791565434351,1.0
fundamental_coverage,fundamental,fundamental_coverage,latest PIT filing and prior PIT filing for change features,True,0.0,1.0,1.0
book_to_price_rank,fundamental,book_to_price,latest PIT filing and prior PIT filing for change features,True,0.0,0.998656923023317,1.0
earnings_yield_rank,fundamental,earnings_yield,latest PIT filing and prior PIT filing for change features,True,0.0,0.9993590819773218,1.0
quality,fundamental,quality_score,latest PIT filing and prior PIT filing for change features,True,0.0,1.0,1.0
growth,fundamental,growth_score,latest PIT filing and prior PIT filing for change features,True,0.0,1.0,1.0
momentum,price_behavior,ret_20,composite/current PIT cross-section,True,0.0,1.0,1.0
short_reversal,price_behavior,ret_5,composite/current PIT cross-section,True,0.0,1.0,1.0
volume_attention,liquidity,volume_ratio_20,composite/current PIT cross-section,True,0.0,1.0,1.0
low_volatility,risk,volatility_20,composite/current PIT cross-section,True,0.0,1.0,1.0
liquidity,liquidity,amount,composite/current PIT cross-section,True,0.0,1.0,1.0
industry_momentum,industry_technology,industry_momentum,composite/current PIT cross-section,True,0.0,1.0,1.0
roe_change_rank,fundamental,roe_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.9910799415888221,1.0
roic_change_rank,fundamental,roic_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.8668315948299984,1.0
debt_ratio_change_rank,fundamental,debt_ratio_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.9979927756818597,1.0
revenue_growth_change_rank,fundamental,revenue_growth_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.9977837118128478,1.0
profit_growth_change_rank,fundamental,profit_growth_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.9977837118128478,1.0
operating_cash_margin_change_rank,fundamental,operating_cash_margin_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.9990676596144566,1.0
gross_margin_change_rank,fundamental,gross_margin_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.8673869867244444,1.0
fundamental_freshness_rank,fundamental,fundamental_age_days,latest PIT filing and prior PIT filing for change features,True,0.0,0.9994657256680805,1.0
benchmark_weight_rank,price_behavior,benchmark_weight,composite/current PIT cross-section,True,0.0,1.0,1.0
momentum_120_rank,price_behavior,momentum_120,120 trading days,True,0.0,0.9997244158090297,1.0
volatility_60_rank,risk,volatility_60,60 trading days,True,0.0,1.0,1.0
downside_volatility_60_rank,risk,downside_volatility_60,60 trading days,True,0.0,1.0,1.0
drawdown_120_rank,risk,drawdown_120,120 trading days,True,0.0,1.0,1.0
price_position_120_rank,price_behavior,price_position_120,120 trading days,True,0.0,1.0,1.0
volume_trend_60_rank,liquidity,volume_trend_60,60 trading days,True,0.0,1.0,1.0
intraday_strength_20_rank,price_behavior,intraday_strength_20,20 trading days,True,0.0,1.0,1.0
overnight_gap_20_rank,price_behavior,overnight_gap_20,20 trading days,True,0.0,1.0,1.0
technology_momentum_rank,industry_technology,industry,composite/current PIT cross-section,True,0.0,0.9658328397103093,1.0
technology_growth_rank,industry_technology,industry,composite/current PIT cross-section,True,0.0,0.9658328397103093,1.0
technology_quality_rank,industry_technology,industry,composite/current PIT cross-section,True,0.0,0.9658328397103093,1.0
technology_valuation_rank,industry_technology,industry,composite/current PIT cross-section,True,0.0,0.9658328397103093,1.0
deducted_profit_growth_rank,fundamental,deducted_profit_growth,latest PIT filing and prior PIT filing for change features,True,0.0,0.9950278699031443,1.0
gross_margin_yoy_rank,fundamental,gross_margin_yoy,latest PIT filing and prior PIT filing for change features,True,0.0,0.8664768197795538,1.0
receivables_turnover_rank,fundamental,receivables_turnover,latest PIT filing and prior PIT filing for change features,True,0.0,0.8607053899410715,1.0
inventory_turnover_rank,fundamental,inventory_turnover,latest PIT filing and prior PIT filing for change features,True,0.0,0.8547512931867353,1.0
fixed_asset_turnover_rank,fundamental,fixed_asset_turnover,latest PIT filing and prior PIT filing for change features,True,0.0,0.8668315948299984,1.0
cash_ratio_rank,fundamental,cash_ratio,latest PIT filing and prior PIT filing for change features,True,0.0,0.867376427943181,1.0
interest_debt_ratio_rank,fundamental,interest_debt_ratio,latest PIT filing and prior PIT filing for change features,True,0.0,0.998656923023317,1.0
operating_cycle_rank,fundamental,operating_cycle,latest PIT filing and prior PIT filing for change features,True,0.0,0.8492945150298972,1.0
staff_average_revenue_rank,fundamental,staff_average_revenue,latest PIT filing and prior PIT filing for change features,True,0.0,0.09943943430273504,1.0
staff_average_profit_rank,fundamental,staff_average_profit,latest PIT filing and prior PIT filing for change features,True,0.0,0.09943943430273504,1.0
fcff_back_rank,fundamental,fcff_back,latest PIT filing and prior PIT filing for change features,True,0.0,0.8668315948299984,1.0
deducted_profit_growth_change_rank,fundamental,deducted_profit_growth_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.9918243356678799,1.0
gross_margin_yoy_change_rank,fundamental,gross_margin_yoy_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.8658696898569179,1.0
receivables_turnover_change_rank,fundamental,receivables_turnover_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.8590371025014809,1.0
inventory_turnover_change_rank,fundamental,inventory_turnover_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.8539530493232349,1.0
fixed_asset_turnover_change_rank,fundamental,fixed_asset_turnover_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.8668315948299984,1.0
cash_ratio_change_rank,fundamental,cash_ratio_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.8665718488109229,1.0
interest_debt_ratio_change_rank,fundamental,interest_debt_ratio_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.9979927756818597,1.0
operating_cycle_change_rank,fundamental,operating_cycle_change,latest PIT filing and prior PIT filing for change features,True,0.0,0.8471975410710194,1.0
