model,horizon,run_status,dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_rank_ic_ratio,mean_pearson_ic
lightgbm_lambdarank,1,COMPLETED,1455.0,-0.02606041432799584,0.23815145025056983,-0.10942790522827599,0.4652920962199313,0.0005455100202221919
lightgbm_lambdarank,5,COMPLETED,1455.0,-0.023700983309013123,0.21689373874195259,-0.10927463119260976,0.4666666666666667,0.0024480860428152487
lightgbm_lambdarank,20,COMPLETED,1455.0,-0.022955107269680673,0.15842332895853628,-0.14489726620811416,0.4027491408934708,0.00373872696475358
lightgbm_regression,1,COMPLETED,1455.0,0.029125895088758447,0.18314884523219183,0.1590285488932967,0.5518900343642612,0.01307538685204645
lightgbm_regression,5,COMPLETED,1455.0,0.03323300257448231,0.1869024325020674,0.1778093635785864,0.570446735395189,0.014659704182709206
lightgbm_regression,20,COMPLETED,1455.0,0.04373269664948378,0.19360237028987864,0.2258892625333218,0.584192439862543,0.02018884987601437
ridge,1,COMPLETED,1455.0,0.027414602202896602,0.20314321271614108,0.13495209530433072,0.5587628865979382,0.006728093473613741
ridge,5,COMPLETED,1455.0,0.03180602622540119,0.1990318333429882,0.15980371426610135,0.554639175257732,0.009460789607356551
ridge,20,COMPLETED,1455.0,0.04218041821677145,0.20519418915464174,0.20556341478550724,0.5718213058419244,0.016626368199275512
v6,1,COMPLETED,1455.0,0.005486576391386732,0.17675040825248403,0.031041378889203355,0.5175257731958763,-0.00039836906175199645
v6,5,COMPLETED,1455.0,-0.004688837632925489,0.1720440574301402,-0.027253702934955645,0.48934707903780067,-0.011339503888298262
v6,20,COMPLETED,1455.0,-0.02172160744343855,0.17248555108179406,-0.12593291036382512,0.4542955326460481,-0.02588940093697405
xgboost,1,DISABLED_DEPENDENCY_NOT_PRESENT,,,,,,
xgboost,5,DISABLED_DEPENDENCY_NOT_PRESENT,,,,,,
xgboost,20,DISABLED_DEPENDENCY_NOT_PRESENT,,,,,,
catboost,1,DISABLED_DEPENDENCY_NOT_PRESENT,,,,,,
catboost,5,DISABLED_DEPENDENCY_NOT_PRESENT,,,,,,
catboost,20,DISABLED_DEPENDENCY_NOT_PRESENT,,,,,,
