model,horizon,quantile,actual_return,sample_size
lightgbm_lambdarank,1,1,0.00024834245621821514,71567
lightgbm_lambdarank,1,2,0.00027438288168347746,70690
lightgbm_lambdarank,1,3,0.00016912040229196185,70637
lightgbm_lambdarank,1,4,0.0004185980344386726,70690
lightgbm_lambdarank,1,5,0.0005469025508475806,71261
lightgbm_lambdarank,5,1,0.0012610940558396614,71130
lightgbm_lambdarank,5,2,0.0012584701535800983,70259
lightgbm_lambdarank,5,3,0.0009646464637056273,70230
lightgbm_lambdarank,5,4,0.0015067918338532154,70259
lightgbm_lambdarank,5,5,0.0027657700560066215,70854
lightgbm_lambdarank,20,1,0.005882883519943899,70300
lightgbm_lambdarank,20,2,0.006121552243640738,69412
lightgbm_lambdarank,20,3,0.003597116202963382,69437
lightgbm_lambdarank,20,4,0.006775412268542747,69412
lightgbm_lambdarank,20,5,0.007858414513375288,70008
lightgbm_regression,1,1,0.0001460041315133077,71567
lightgbm_regression,1,2,0.0003987464793639442,70690
lightgbm_regression,1,3,0.00032604027777059894,70637
lightgbm_regression,1,4,0.00020389903086647805,70690
lightgbm_regression,1,5,0.000585261784229072,71261
lightgbm_regression,5,1,0.0011377031501217162,71130
lightgbm_regression,5,2,0.002051060136414479,70259
lightgbm_regression,5,3,0.0016214076344396595,70230
lightgbm_regression,5,4,0.001503159125035992,70259
lightgbm_regression,5,5,0.0014469758870823976,70854
lightgbm_regression,20,1,0.003337877955778654,70300
lightgbm_regression,20,2,0.008643579290150678,69412
lightgbm_regression,20,3,0.008182747906728937,69437
lightgbm_regression,20,4,0.00542976260821806,69412
lightgbm_regression,20,5,0.0046962546761702825,70008
ridge,1,1,0.00024857326578630066,71567
ridge,1,2,0.000542550450519289,70690
ridge,1,3,0.000318280435708235,70637
ridge,1,4,0.00015790081709880438,70690
ridge,1,5,0.0003947946071091286,71261
ridge,5,1,0.0011311836018801941,71130
ridge,5,2,0.002491460294127226,70259
ridge,5,3,0.0013304026652823284,70230
ridge,5,4,0.0013756616563044357,70259
ridge,5,5,0.0014398356183904122,70854
ridge,20,1,0.004323081982342561,70300
ridge,20,2,0.008225076380589584,69412
ridge,20,3,0.00643437605577873,69437
ridge,20,4,0.006727637913954129,69412
ridge,20,5,0.0045631721011151856,70008
v6,1,1,0.00038335378038883885,71567
v6,1,2,0.0003627637113290619,70690
v6,1,3,0.00033547317251131326,70637
v6,1,4,0.0002954326948162296,70690
v6,1,5,0.00028532221011701565,71261
v6,5,1,0.0024345160572023707,71130
v6,5,2,0.0018563627443687585,70259
v6,5,3,0.0013609666994458683,70230
v6,5,4,0.001210465342964514,70259
v6,5,5,0.0008945175100007611,70854
v6,20,1,0.010019903031037313,70300
v6,20,2,0.007947529481556546,69412
v6,20,3,0.0062407030282014605,69437
v6,20,4,0.003774953175923892,69412
v6,20,5,0.002238776068713556,70008
