model,horizon,top_k,periods,gross_total_return,net_total_return,research_benchmark_proxy_return,gross_alpha_total,net_alpha_total,net_cagr,sharpe,sortino,max_drawdown,volatility,worst_month,worst_year,mean_net_alpha,mean_top_minus_bottom_spread,average_one_way_turnover,annualized_turnover,average_transaction_cost,average_maximum_sector_weight,average_size_rank,average_liquidity_rank
v6,1,10,1455,0.40945070359293356,-0.6603915859079892,0.36100943985039136,0.04844126374254221,-1.0214010257583805,-0.1705935656198182,-0.7240926758814585,-1.0560930417879848,-0.7072484691142646,0.22374967066798532,-0.14801112501050628,-0.44025469118881544,-0.0009299717433916333,-2.18233040611923e-05,0.46556701030927833,117.32288659793814,0.0009776907216494846,0.43340206185567004,0.3350213913484186,0.2309527486706185
v6,1,20,1455,0.5111330572962922,-0.5575753610703623,0.36100943985039136,0.15012361744590086,-0.9185848009207537,-0.13171793968125656,-0.5527229111710129,-0.7923661847320679,-0.622557993819205,0.21407128930574998,-0.12748670990552324,-0.3941152586129143,-0.0007565852690330208,-8.929333409827179e-06,0.4018556701030928,101.26762886597939,0.0008438969072164948,0.39628865979381445,0.3359942673293366,0.23718846060725307
v6,1,30,1455,0.4374365651838623,-0.5261675849036523,0.36100943985039136,0.07642712533347096,-0.8871770247540437,-0.12134264773109804,-0.5172727729436075,-0.7394680846847537,-0.6159332571458571,0.20818025990203126,-0.10647135817296505,-0.36280488212933104,-0.0007143784201776174,-9.740085302768273e-05,0.363069873997709,91.49360824742267,0.0007624467353951888,0.3893241695303551,0.3360033699042718,0.2381446769235572
ridge,1,10,1455,0.7697952702945821,-0.6164362869402411,0.36100943985039136,0.4087858304441907,-0.9774457267906325,-0.15292400696938613,-0.7115144940127205,-0.9826770210954565,-0.6374277883167128,0.20392102622661093,-0.18694422276398426,-0.3391505796438553,-0.000862818045108321,0.0005891067051316484,0.5002749140893471,126.06927835051548,0.0010505773195876287,0.43841924398625437,0.3222217963378495,0.06832213981591853
ridge,1,20,1455,0.6630191778993813,-0.5807853400410812,0.36100943985039136,0.3020097380489899,-0.9417947798914725,-0.13978392881191226,-0.6814273904462317,-0.9356265378655776,-0.6013573249967458,0.19341804730250386,-0.16012405610301494,-0.28864518948827467,-0.0008100703841732779,0.0005563392796038505,0.45085910652920963,113.61649484536083,0.00094680412371134,0.4033333333333333,0.32095382810362083,0.09736147868358899
ridge,1,30,1455,0.6408711918025205,-0.5417118041620135,0.36100943985039136,0.27986175195212915,-0.9027212440124048,-0.12640404345730938,-0.6156913272062007,-0.8445202028386151,-0.5850367794085695,0.19006827878684465,-0.15912201849856178,-0.29953344335676424,-0.0007514316365047046,0.0004270911852177065,0.41731958762886595,105.16453608247421,0.0008763711340206184,0.388659793814433,0.3206087749429258,0.11457905922424237
lightgbm_regression,1,10,1455,4.110989643157977,-0.3300081064218434,0.36100943985039136,3.7499802033075853,-0.6910175462722348,-0.06701220400734342,-0.16048167180554962,-0.22576002232174885,-0.6327347969329016,0.24494794141999424,-0.16151122833689113,-0.30972304470834267,-0.0004430437964981093,0.0016529458523077507,0.6651546391752577,167.61896907216496,0.0013968247422680412,0.4610309278350515,0.3472598814119852,0.19295457029206559
lightgbm_regression,1,20,1455,2.19816771067752,-0.4661423538362569,0.36100943985039136,1.8371582708271288,-0.8271517936866483,-0.10300253652297364,-0.37727734748417585,-0.5326225944520637,-0.6536090232994549,0.22245104670028915,-0.15156679010059926,-0.3357064179279181,-0.0006200917556241215,0.0009965390586600727,0.5858419243986255,147.63216494845364,0.0012302680412371134,0.4300343642611684,0.34354016064543075,0.196892574294692
lightgbm_regression,1,30,1455,1.7317836606509065,-0.4580021534470716,0.36100943985039136,1.3707742208005151,-0.819011593297463,-0.10064847692044754,-0.39577865087055697,-0.5582024194934649,-0.6249091861188731,0.21148918597053468,-0.13071121973167033,-0.2922502651574037,-0.0006192074851993872,0.000711001336931482,0.5293012600229094,133.38391752577317,0.0011115326460481097,0.4068270332187858,0.3396797380146128,0.193661289954349
lightgbm_lambdarank,1,10,1455,2.5099151123991477,-0.22862004921075385,0.36100943985039136,2.1489056725487563,-0.5896294890611452,-0.04396158647527948,0.049169607516100826,0.07991352669125472,-0.7147950106635315,0.3551364554648618,-0.260400235031077,-0.33772533800912796,-0.0002177597676319386,0.0009596916900824423,0.49587628865979383,124.96082474226804,0.0010413402061855669,0.5635051546391753,0.33492259807312574,0.2917720389604254
