model,horizon,top_k,average_one_way_turnover,annualized_turnover,average_transaction_cost
v6,1,10,0.46556701030927833,117.32288659793814,0.0009776907216494846
v6,1,20,0.4018556701030928,101.26762886597939,0.0008438969072164948
v6,1,30,0.363069873997709,91.49360824742267,0.0007624467353951888
ridge,1,10,0.5002749140893471,126.06927835051548,0.0010505773195876287
ridge,1,20,0.45085910652920963,113.61649484536083,0.00094680412371134
ridge,1,30,0.41731958762886595,105.16453608247421,0.0008763711340206184
lightgbm_regression,1,10,0.6651546391752577,167.61896907216496,0.0013968247422680412
lightgbm_regression,1,20,0.5858419243986255,147.63216494845364,0.0012302680412371134
lightgbm_regression,1,30,0.5293012600229094,133.38391752577317,0.0011115326460481097
lightgbm_lambdarank,1,10,0.49587628865979383,124.96082474226804,0.0010413402061855669
lightgbm_lambdarank,1,20,0.3826116838487973,96.41814432989692,0.0008034845360824741
lightgbm_lambdarank,1,30,0.299495990836197,75.47298969072165,0.0006289415807560136
v6,5,10,0.6319727891156462,31.85142857142857,0.001327142857142857
v6,5,20,0.5545918367346939,27.951428571428572,0.001164642857142857
v6,5,30,0.49092970521541945,24.74285714285714,0.0010309523809523809
ridge,5,10,0.5326530612244899,26.845714285714287,0.0011185714285714286
ridge,5,20,0.46547619047619043,23.459999999999997,0.0009775
ridge,5,30,0.42891156462585034,21.617142857142856,0.0009007142857142855
lightgbm_regression,5,10,0.48095238095238096,24.24,0.0010099999999999998
lightgbm_regression,5,20,0.4311224489795918,21.728571428571424,0.0009053571428571426
lightgbm_regression,5,30,0.38832199546485263,19.571428571428573,0.0008154761904761904
lightgbm_lambdarank,5,10,0.3799319727891156,19.148571428571426,0.0007978571428571429
lightgbm_lambdarank,5,20,0.33163265306122447,16.71428571428571,0.0006964285714285714
lightgbm_lambdarank,5,30,0.2880952380952381,14.520000000000001,0.000605
v6,20,10,0.7705128205128204,9.708461538461536,0.0016180769230769226
v6,20,20,0.6897435897435898,8.690769230769233,0.0014484615384615387
v6,20,30,0.6170940170940172,7.775384615384617,0.0012958974358974356
ridge,20,10,0.6615384615384615,8.335384615384616,0.0013892307692307691
ridge,20,20,0.5948717948717949,7.495384615384615,0.0012492307692307692
ridge,20,30,0.5431623931623931,6.843846153846153,0.0011406410256410253
lightgbm_regression,20,10,0.5384615384615385,6.784615384615385,0.0011307692307692308
lightgbm_regression,20,20,0.4961538461538464,6.251538461538464,0.0010419230769230768
lightgbm_regression,20,30,0.46324786324786327,5.836923076923077,0.0009728205128205125
lightgbm_lambdarank,20,10,0.44743589743589735,5.637692307692307,0.0009396153846153843
lightgbm_lambdarank,20,20,0.3871794871794872,4.878461538461538,0.0008130769230769231
lightgbm_lambdarank,20,30,0.34444444444444444,4.34,0.000723333333333333
