symbol,industry_effective_date,industry,industry_code,industry_source
000001,1991-04-03,金融服务,S440101,cninfo:申银万国行业分类
000001,2008-06-02,银行,S480101,cninfo:申银万国行业分类
000001,2021-07-30,银行,S480301,cninfo:申银万国行业分类
000002,1991-01-29,房地产,S430101,cninfo:申银万国行业分类
000008,1992-05-07,综合,S510101,cninfo:申银万国行业分类
000008,2007-07-02,综合,S510101,cninfo:申银万国行业分类
000008,2008-06-02,综合,S510101,cninfo:申银万国行业分类
000008,2013-07-01,休闲服务,S460201,cninfo:申银万国行业分类
000008,2015-07-01,机械设备,S640501,cninfo:申银万国行业分类
000008,2016-10-10,有色金属,S240501,cninfo:申银万国行业分类
000008,2017-07-03,机械设备,S640501,cninfo:申银万国行业分类
000009,1991-06-25,房地产,S430101,cninfo:申银万国行业分类
000009,2007-07-02,房地产,S430101,cninfo:申银万国行业分类
000009,2008-06-02,房地产,S430101,cninfo:申银万国行业分类
000009,2013-07-01,综合,S510101,cninfo:申银万国行业分类
000009,2021-07-30,电力设备,S630702,cninfo:申银万国行业分类
000012,1992-02-28,建筑建材,S250101,cninfo:申银万国行业分类
000012,2008-06-02,建筑材料,S610201,cninfo:申银万国行业分类
000021,1994-02-02,信息设备,S320201,cninfo:申银万国行业分类
000021,2008-06-02,计算机,S710101,cninfo:申银万国行业分类
000021,2019-07-08,电子,S270501,cninfo:申银万国行业分类
000021,2021-07-30,电子,S270504,cninfo:申银万国行业分类
000027,1993-09-03,公用事业,S410101,cninfo:申银万国行业分类
000031,1993-10-08,房地产,S430101,cninfo:申银万国行业分类
000031,2021-07-30,房地产,S430102,cninfo:申银万国行业分类
000039,1994-04-08,黑色金属,S230201,cninfo:申银万国行业分类
000039,2008-06-02,机械设备,S640401,cninfo:申银万国行业分类
000039,2021-07-30,机械设备,S640108,cninfo:申银万国行业分类
000059,1997-01-30,化工,S220301,cninfo:申银万国行业分类
000059,2007-07-02,化工,S220301,cninfo:申银万国行业分类
000059,2008-06-02,化工,S220301,cninfo:申银万国行业分类
000059,2010-01-01,化工,S220101,cninfo:申银万国行业分类
000059,2021-07-30,石油石化,S750301,cninfo:申银万国行业分类
000060,1997-01-23,有色金属,S240101,cninfo:申银万国行业分类
000060,2007-07-02,有色金属,S240104,cninfo:申银万国行业分类
000060,2008-06-02,有色金属,S240303,cninfo:申银万国行业分类
000061,1997-01-10,农林牧渔,S110601,cninfo:申银万国行业分类
000061,2007-07-02,农林牧渔,S110601,cninfo:申银万国行业分类
000061,2008-06-02,农林牧渔,S110601,cninfo:申银万国行业分类
000061,2014-01-01,商业贸易,S450502,cninfo:申银万国行业分类
000061,2021-07-30,商贸零售,S450304,cninfo:申银万国行业分类
000063,1997-11-18,信息设备,S320101,cninfo:申银万国行业分类
000063,2008-06-02,通信,S730202,cninfo:申银万国行业分类
000063,2021-07-30,通信,S730204,cninfo:申银万国行业分类
000066,1997-06-26,信息设备,S320201,cninfo:申银万国行业分类
000066,2008-06-02,计算机,S710101,cninfo:申银万国行业分类
000066,2021-07-30,计算机,S710103,cninfo:申银万国行业分类
000069,1997-09-10,休闲服务,S460101,cninfo:申银万国行业分类
000069,2007-07-02,休闲服务,S460101,cninfo:申银万国行业分类
000069,2008-06-02,房地产,S430101,cninfo:申银万国行业分类
000069,2021-07-30,房地产,S430102,cninfo:申银万国行业分类
000089,1998-04-20,交通运输,S420501,cninfo:申银万国行业分类
000089,2021-07-30,交通运输,S421002,cninfo:申银万国行业分类
