snapshot_date,index_code,symbol,weight,source
2010-01-04,000300,000001,1.3,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000002,1.82,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000009,0.21,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000012,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000021,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000024,0.31,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000027,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000031,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000039,0.2,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000046,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000059,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000060,0.36,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000061,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000063,0.74,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000069,0.46,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000089,0.09,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000100,0.22,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000157,0.38,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000301,0.11,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000338,0.36,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000401,0.25,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000402,0.41,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000422,0.21,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000423,0.24,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000425,0.22,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000488,0.13,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000527,0.49,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000528,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000538,0.22,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000559,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000562,0.24,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000568,0.47,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000612,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000623,0.5,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000625,0.18,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000630,0.25,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000631,0.06,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000651,0.66,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000652,0.15,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000667,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000680,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000685,0.1,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000686,0.17,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000690,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000709,0.23,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000717,0.14,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000718,0.12,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000728,0.29,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000729,0.16,chenditc/investment_data:ts_index_weight
2010-01-04,000300,000758,0.11,chenditc/investment_data:ts_index_weight
